year,%
1971/01,6.5
1971/02,6.1
1971/03,6.1
1971/04,7
1971/05,7.3
1971/06,7.7
1971/07,7.6
1971/08,6.9
1971/09,6.7
1971/10,6.2
1971/11,5.9
1971/12,5.7
1972/01,5.4
1972/02,6
1972/03,6
1972/04,5.3
1972/05,5.2
1972/06,5.1
1972/07,5.5
1972/08,5.9
1972/09,5.6
1972/10,6
1972/11,6.1
1972/12,6.2
1973/01,6.9
1973/02,6.6
1973/03,7.9
1973/04,8.7
1973/05,9.8
1973/06,10.7
1973/07,11.2
1973/08,11.7
1973/09,13.1
1973/10,13.1
1973/11,14.1
1973/12,16.1
1974/01,17.9
1974/02,20.6
1974/03,19.9
1974/04,19.7
1974/05,19.9
1974/06,19.1
1974/07,20
1974/08,19.4
1974/09,18.5
1974/10,20.3
1974/11,19.6
1974/12,17.3
1975/01,15.2
1975/02,12.3
1975/03,11.6
1975/04,12.7
1975/05,11.9
1975/06,11.7
1975/07,10.4
1975/08,10.1
1975/09,9.7
1975/10,8.1
1975/11,7.9
1975/12,8
1976/01,8.7
1976/02,9.1
1976/03,9.4
1976/04,9.2
1976/05,9.3
1976/06,10
1976/07,9.8
1976/08,9.8
1976/09,9.9
1976/10,9.9
1976/11,10.6
1976/12,12.1
1977/01,10.3
1977/02,9.9
1977/03,9.7
1977/04,9.6
1977/05,10
1977/06,9
1977/07,9
1977/08,9.1
1977/09,8.6
1977/10,8.5
1977/11,7.6
1977/12,5.8
1978/01,5.7
1978/02,6.1
1978/03,6.4
1978/04,5.3
1978/05,5.2
1978/06,5.1
1978/07,5.3
1978/08,5.1
1978/09,5.2
1978/10,5.2
1978/11,5.2
1978/12,5.5
1979/01,5.2
1979/02,4.6
1979/03,4.6
1979/04,4.2
1979/05,4.2
1979/06,4.4
1979/07,4.2
1979/08,4
1979/09,4.2
1979/10,4.3
1979/11,4.4
1979/12,4.3
1980/01,4.7
1980/02,4.9
1980/03,5
1980/04,5.8
1980/05,6.7
1980/06,7.3
1980/07,7.3
1980/08,7.5
1980/09,7.2
1980/10,7.1
1980/11,7.1
1980/12,6.9
1981/01,6
1981/02,5.9
1981/03,5.6
1981/04,5.2
1981/05,4.8
1981/06,4.5
1981/07,4
1981/08,4
1981/09,4.2
1981/10,4
1981/11,3.9
1981/12,3.9
1982/01,3.6
1982/02,3.5
1982/03,3.5
1982/04,3.4
1982/05,3
1982/06,2.9
1982/07,2.9
1982/08,3.1
1982/09,3
1982/10,3
1982/11,2.8
1982/12,2.8
1983/01,2.6
1983/02,2.6
1983/03,2.5
1983/04,2.5
1983/05,2.6
1983/06,2.4
1983/07,2.5
1983/08,2.1
1983/09,2.2
1983/10,2.3
1983/11,2.6
1983/12,2.5
1984/01,2.5
1984/02,2.7
1984/03,2.5
1984/04,2.4
1984/05,2.9
1984/06,2.6
1984/07,2.6
1984/08,2.7
1984/09,2.4
1984/10,2.9
1984/11,2.8
1984/12,2.8
1985/01,3.2
1985/02,2.7
1985/03,3
1985/04,2.8
1985/05,2.5
1985/06,2.8
1985/07,2.6
1985/08,2.4
1985/09,2.9
1985/10,2.6
1985/11,2.7
1985/12,2.7
1986/01,1.8
1986/02,2.1
1986/03,1.9
1986/04,2
1986/05,2
1986/06,2
1986/07,1.9
1986/08,1.8
1986/09,1.9
1986/10,1.8
1986/11,1.8
1986/12,1.7
1987/01,1.7
1987/02,1.7
1987/03,1.8
1987/04,1.8
1987/05,1.4
1987/06,1.4
1987/07,1.6
1987/08,1.7
1987/09,1.4
1987/10,1.3
1987/11,1.4
1987/12,1.3
1988/01,1.3
1988/02,1.1
1988/03,1.1
1988/04,1.1
1988/05,1.2
1988/06,1
1988/07,0.8
1988/08,0.9
1988/09,1
1988/10,1.2
1988/11,1.2
1988/12,1.3
1989/01,1.4
1989/02,1.5
1989/03,1.5
1989/04,2.4
1989/05,2.8
1989/06,2.8
1989/07,2.8
1989/08,2.8
1989/09,3
1989/10,2.9
1989/11,2.8
1989/12,2.8
1990/01,2.9
1990/02,2.8
1990/03,2.9
1990/04,2.3
1990/05,2.5
1990/06,2.4
1990/07,2.4
1990/08,2.5
1990/09,2.5
1990/10,2.4
1990/11,2.8
1990/12,2.7
1991/01,2.5
1991/02,2.5
1991/03,2.6
1991/04,2.4
1991/05,2.6
1991/06,2.6
1991/07,2.7
1991/08,2.5
1991/09,2.6
1991/10,2.7
1991/11,2.7
1991/12,2.6
1992/01,2.3
1992/02,2.6
1992/03,2.7
1992/04,2.9
1992/05,2.7
1992/06,2.9
1992/07,2.5
1992/08,2.7
1992/09,2.4
1992/10,2.4
1992/11,2.3
1992/12,2.3
1993/01,1.9
1993/02,1.8
1993/03,1.5
1993/04,1.5
1993/05,1.4
1993/06,1.2
1993/07,1.5
1993/08,1.4
1993/09,1.4
1993/10,1.3
1993/11,1.1
1993/12,0.9
1994/01,1
1994/02,0.9
1994/03,0.9
1994/04,0.8
1994/05,0.9
1994/06,0.9
1994/07,0.7
1994/08,0.7
1994/09,0.8
1994/10,0.7
1994/11,0.8
1994/12,0.9
1995/01,0.8
1995/02,0.8
1995/03,0.8
1995/04,0.6
1995/05,0.6
1995/06,0.6
1995/07,0.5
1995/08,0.6
1995/09,0.8
1995/10,0.6
1995/11,0.6
1995/12,0.6
1996/01,0.6
1996/02,0.4
1996/03,0.5
1996/04,0.5
1996/05,0.6
1996/06,0.6
1996/07,0.5
1996/08,0.5
1996/09,0.3
1996/10,0.6
1996/11,0.5
1996/12,0.3
1997/01,0.4
1997/02,0.5
1997/03,0.5
1997/04,1.6
1997/05,1.6
1997/06,1.6
1997/07,1.7
1997/08,1.6
1997/09,2.3
1997/10,2.3
1997/11,2.3
1997/12,2.4
1998/01,2
1998/02,2.1
1998/03,2.1
1998/04,0.8
1998/05,0.7
1998/06,0.6
1998/07,0.5
1998/08,0.7
1998/09,-0.1
1998/10,-0.2
1998/11,-0.2
1998/12,-0.1
1999/01,0
1999/02,-0.2
1999/03,-0.2
1999/04,0
1999/05,-0.1
1999/06,0
1999/07,-0.1
1999/08,-0.1
1999/09,-0.2
1999/10,-0.1
1999/11,-0.2
1999/12,-0.3
2000/01,-0.4
2000/02,-0.2
2000/03,-0.3
2000/04,-0.6
2000/05,-0.2
2000/06,-0.5
2000/07,-0.3
2000/08,-0.5
2000/09,-0.5
2000/10,-0.6
2000/11,-0.5
2000/12,-0.5
2001/01,-0.9
2001/02,-1
2001/03,-1.1
2001/04,-0.9
2001/05,-1.1
2001/06,-0.9
2001/07,-0.9
2001/08,-0.9
2001/09,-0.8
2001/10,-0.7
2001/11,-0.9
2001/12,-0.8
2002/01,-0.8
2002/02,-0.8
2002/03,-0.7
2002/04,-0.8
2002/05,-0.9
2002/06,-0.8
2002/07,-0.9
2002/08,-0.8
2002/09,-0.8
2002/10,-0.8
2002/11,-0.7
2002/12,-0.6
2003/01,-0.7
2003/02,-0.6
2003/03,-0.5
2003/04,-0.4
2003/05,-0.3
2003/06,-0.3
2003/07,0
2003/08,-0.1
2003/09,-0.1
2003/10,-0.1
2003/11,-0.2
2003/12,-0.3
2004/01,-0.4
2004/02,-0.4
2004/03,-0.4
2004/04,-0.6
2004/05,-0.6
2004/06,-0.7
2004/07,-0.8
2004/08,-0.7
2004/09,-0.7
2004/10,-0.5
2004/11,-0.7
2004/12,-0.7
2005/01,-0.6
2005/02,-0.6
2005/03,-0.6
2005/04,-0.5
2005/05,-0.4
2005/06,-0.4
2005/07,-0.4
2005/08,-0.5
2005/09,-0.3
2005/10,-0.4
2005/11,-0.1
2005/12,0
2006/01,-0.7
2006/02,-0.5
2006/03,-0.5
2006/04,-0.6
2006/05,-0.5
2006/06,-0.4
2006/07,-0.3
2006/08,-0.4
2006/09,-0.5
2006/10,-0.4
2006/11,-0.2
2006/12,-0.3
2007/01,-0.2
2007/02,-0.3
2007/03,-0.4
2007/04,-0.2
2007/05,-0.3
2007/06,-0.4
2007/07,-0.5
2007/08,-0.2
2007/09,-0.3
2007/10,-0.3
2007/11,-0.1
2007/12,-0.1
2008/01,-0.1
2008/02,-0.1
2008/03,0.1
2008/04,-0.1
2008/05,-0.1
2008/06,0.1
2008/07,0.2
2008/08,0
2008/09,0.2
2008/10,0.2
2008/11,0
2008/12,0
2009/01,-0.2
2009/02,-0.1
2009/03,-0.3
2009/04,-0.4
2009/05,-0.5
2009/06,-0.7
2009/07,-0.9
2009/08,-0.9
2009/09,-1
2009/10,-1.1
2009/11,-1
2009/12,-1.2
2010/01,-1.2
2010/02,-1.1
2010/03,-1.1
2010/04,-1.6
2010/05,-1.6
2010/06,-1.5
2010/07,-1.5
2010/08,-1.5
2010/09,-1.5
2010/10,-0.8
2010/11,-0.9
2010/12,-0.7
2011/01,-1.3
2011/02,-1.3
2011/03,-1.4
2011/04,-1.1
2011/05,-0.8
2011/06,-0.8
2011/07,-0.5
2011/08,-0.5
2011/09,-0.4
2011/10,-1
2011/11,-1.1
2011/12,-1.1
2012/01,-0.9
2012/02,-0.6
2012/03,-0.5
2012/04,-0.3
2012/05,-0.6
2012/06,-0.6
2012/07,-0.6
2012/08,-0.5
2012/09,-0.6
2012/10,-0.5
2012/11,-0.5
2012/12,-0.6
2013/01,-0.7
2013/02,-0.9
